date,state,hospitalizedCurrently,death,positiveIncrease
2020-07-03,CA,7024,6263,8040
2020-07-03,CO,270,1521,323
2020-07-03,CT,95,4335,71
2020-07-03,DC,110,555,45
2020-07-03,DE,57,512,192
2020-07-03,FL,,3785,9488
2020-07-03,GA,1671,2856,2784
2020-07-03,GU,2,5,6
2020-07-03,HI,,18,20
2020-07-03,IA,146,720,220
2020-07-03,ID,42,92,223
2020-07-03,IL,1349,7215,937
2020-07-03,IN,633,2681,528
2020-07-03,KS,,277,929
2020-07-03,KY,455,585,297
2020-07-03,LA,852,3278,1728
2020-07-03,MA,656,8149,290
2020-07-03,MD,422,3223,538
2020-07-03,ME,27,105,45
2020-07-03,MI,548,6215,497
2020-07-03,MN,270,1503,414
2020-07-03,MO,716,1026,547
2020-07-03,MP,,2,1
2020-07-03,MS,863,1092,0
2020-07-03,MT,17,23,45
2020-07-03,NC,951,1392,2099
2020-07-03,ND,20,78,65
2020-07-03,NE,121,282,142
2020-07-03,NH,31,375,20
2020-07-03,NJ,1028,15164,386
2020-07-03,NM,127,503,244
2020-07-03,NV,704,528,985
2020-07-03,NY,857,24885,918
2020-07-03,OH,740,2903,1091
2020-07-03,OK,391,398,526
2020-07-03,OR,173,209,342
2020-07-03,PA,598,6746,667
2020-07-03,PR,104,154,75
2020-07-03,RI,61,960,22
2020-07-03,SC,1148,793,1831
2020-07-03,SD,58,97,85
2020-07-03,TN,949,633,1822
2020-07-03,TX,7652,2575,7555
2020-07-03,UT,232,181,596
2020-07-03,VA,818,1845,658
2020-07-03,VI,,6,6
2020-07-03,VT,16,56,9
2020-07-03,WA,334,1342,716
2020-07-03,WI,244,803,622
2020-07-03,WV,25,93,73
2020-07-03,WY,8,20,32
2020-07-02,AK,18,14,39
2020-07-02,AL,843,985,1149
2020-07-02,AR,272,279,878
2020-07-02,AS,,0,0
2020-07-02,AZ,2938,1757,3333
2020-07-02,CA,6812,6163,7538
2020-07-02,CO,262,1520,314
2020-07-02,CT,101,4326,74
2020-07-02,DC,120,554,25
2020-07-02,DE,67,510,221
2020-07-02,FL,,3718,10109
2020-07-02,GA,1649,2849,3472
2020-07-02,GU,1,5,13
2020-07-02,HI,,18,9
2020-07-02,IA,145,718,758
2020-07-02,ID,42,92,253
2020-07-02,IL,1651,7188,869
2020-07-02,IN,644,2662,435
2020-07-02,KS,,272,0
2020-07-02,KY,430,581,237
2020-07-02,LA,840,3255,1383
2020-07-02,MA,681,8132,195
2020-07-02,MD,441,3212,505
2020-07-02,ME,30,105,34
2020-07-02,MI,548,6212,589
2020-07-02,MN,274,1495,494
2020-07-02,MO,716,1022,356
2020-07-02,MP,,2,0
2020-07-02,MS,863,1092,870
2020-07-02,MT,14,22,67
